,anime_id,name,genre,type,episodes,rating,members,vote count
96,9756,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",TV,12,8.51,462974,14453
206,813,Dragon Ball Z,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,291,8.32,375662,14211
1620,6880,Deadman Wonderland,"Action, Horror, Sci-Fi",TV,12,7.48,453454,14088
160,5081,Bakemonogatari,"Mystery, Romance, Supernatural, Vampire",TV,15,8.39,482268,13846
24,164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,13679
22,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,13449
727,5680,K-On!,"Comedy, Music, School, Slice of Life",TV,13,7.87,386048,13443
251,2025,Darker than Black: Kuro no Keiyakusha,"Action, Mystery, Sci-Fi, Super Power",TV,25,8.25,440334,13286
458,4898,Kuroshitsuji,"Action, Comedy, Demons, Fantasy, Historical, Shounen, Supernatural",TV,24,8.06,424919,12835
248,7054,Kaichou wa Maid-sama!,"Comedy, Romance, School, Shoujo",TV,26,8.26,391628,12757
1246,1195,Zero no Tsukaima,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,13,7.62,346828,12692
1338,356,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",TV,24,7.58,374880,12650
339,20507,Noragami,"Action, Adventure, Shounen, Supernatural",TV,12,8.17,515378,12475
411,1689,Byousoku 5 Centimeter,"Drama, Romance, Slice of Life",Movie,3,8.1,324035,12403
830,10793,Guilty Crown,"Action, Drama, Sci-Fi, Super Power",TV,22,7.81,460959,12366
94,10087,Fate/Zero,"Action, Fantasy, Supernatural",TV,13,8.51,453630,12179
1057,11617,High School DxD,"Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.7,398660,12140
104,205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",TV,26,8.5,390076,12131
491,15809,Hataraku Maou-sama!,"Comedy, Demons, Fantasy, Romance, Shounen",TV,13,8.03,409037,12120
98,13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,509109,11979
1955,3457,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.4,286826,11933
1183,270,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",TV,13,7.64,308995,11772
583,14741,Chuunibyou demo Koi ga Shitai!,"Comedy, Drama, Romance, School, Slice of Life",TV,12,7.95,394399,11712
281,18679,Kill la Kill,"Action, Comedy, School, Super Power",TV,24,8.23,508118,11696
346,223,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",TV,153,8.16,316102,11696
1598,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",TV,12,7.49,321477,11510
2132,21881,Sword Art Online II,"Action, Adventure, Fantasy, Game, Romance",TV,24,7.35,537892,11496
2895,2993,Rosario to Vampire,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Shounen, Vampire",TV,13,7.14,299278,11399
23,30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,11323
132,2236,Toki wo Kakeru Shoujo,"Adventure, Drama, Romance, Sci-Fi",Movie,1,8.44,289206,11172
456,227,FLCL,"Action, Comedy, Dementia, Mecha, Parody, Sci-Fi",OVA,6,8.06,305165,11118
334,934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller",TV,26,8.17,359494,11037
582,269,Bleach,"Action, Comedy, Shounen, Super Power, Supernatural",TV,366,7.95,624055,11014
775,22199,Akame ga Kill!,"Action, Adventure, Fantasy",TV,24,7.84,492133,10936
922,14227,Tonari no Kaibutsu-kun,"Comedy, Romance, School, Shoujo, Slice of Life",TV,13,7.77,349836,10802
1349,10719,Boku wa Tomodachi ga Sukunai,"Comedy, Ecchi, Harem, Romance, School, Seinen, Slice of Life",TV,12,7.57,325664,10780
331,889,Black Lagoon,"Action, Seinen",TV,12,8.17,332562,10747
644,1818,Claymore,"Action, Adventure, Demons, Fantasy, Shounen, Super Power, Supernatural",TV,26,7.92,316853,10592
115,523,Tonari no Totoro,"Adventure, Comedy, Supernatural",Movie,1,8.48,271484,10543
288,6702,Fairy Tail,"Action, Adventure, Comedy, Fantasy, Magic, Shounen",TV,175,8.22,584590,10516
6324,2476,School Days,"Drama, Harem, Romance, School",TV,12,6.17,279183,10484
36,11741,Fate/Zero 2nd Season,"Action, Fantasy, Supernatural, Thriller",TV,12,8.73,340973,10356
1350,59,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,26,7.57,266846,10250
1104,14345,Btooom!,"Action, Psychological, Sci-Fi, Seinen",TV,12,7.68,329561,10223
177,2966,Ookami to Koushinryou,"Adventure, Fantasy, Historical, Romance",TV,13,8.37,334932,10181
158,13759,Sakurasou no Pet na Kanojo,"Comedy, Drama, Romance, School, Slice of Life",TV,24,8.4,380375,10180
793,6347,Baka to Test to Shoukanjuu,"Comedy, Romance, School, Super Power",TV,13,7.83,301282,10147
401,14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"Comedy, Drama, Romance, School",TV,13,8.12,353876,10099
986,355,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.74,297058,9960
67,22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425457,9930
1123,8841,Kore wa Zombie Desu ka?,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,12,7.67,295782,9916
1006,1840,Zero no Tsukaima: Futatsuki no Kishi,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,7.73,235684,9862
591,8525,Kami nomi zo Shiru Sekai,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,7.95,284846,9844
84,2251,Baccano!,"Action, Comedy, Historical, Mystery, Seinen, Supernatural",TV,13,8.54,363215,9710
729,1887,Lucky☆Star,"Comedy, Parody, School, Slice of Life",TV,24,7.87,305837,9706
829,71,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,24,7.81,256325,9638
122,11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.46,338315,9620
319,6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25,8.19,309339,9538
1518,27899,Tokyo Ghoul √A,"Action, Drama, Horror, Mystery, Psychological, Seinen, Supernatural",TV,12,7.52,408357,9538
1096,4654,Toaru Majutsu no Index,"Action, Magic, Sci-Fi, Super Power",TV,24,7.69,313114,9425
374,17265,Log Horizon,"Action, Adventure, Fantasy, Game, Magic, Shounen",TV,25,8.14,387100,9389
214,6,Trigun,"Action, Comedy, Sci-Fi",TV,26,8.32,283069,9385
971,430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",Movie,1,7.74,186465,9220
849,120,Fruits Basket,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",TV,26,7.8,242553,9171
4444,225,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",TV,64,6.72,226625,9124
713,18153,Kyoukai no Kanata,"Fantasy, Slice of Life, Supernatural",TV,12,7.88,359011,9122
493,5630,Higashi no Eden,"Action, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",TV,11,8.03,276593,9086
1220,11759,Accel World,"Action, Game, Romance, School, Sci-Fi",TV,24,7.62,324284,9011
1483,4752,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.53,198492,8966
199,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12,8.33,383914,8889
335,12189,Hyouka,"Mystery, School, Slice of Life",TV,22,8.17,372246,8840
2385,4382,Suzumiya Haruhi no Yuuutsu (2009),"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",TV,14,7.28,243448,8828
2948,9041,IS: Infinite Stratos,"Action, Comedy, Harem, Mecha, Sci-Fi",TV,12,7.12,254543,8726
156,1210,NHK ni Youkoso!,"Comedy, Drama, Psychological, Romance",TV,24,8.4,291228,8705
665,18897,Nisekoi,"Comedy, Harem, Romance, School, Shounen",TV,20,7.91,347599,8699
250,23283,Zankyou no Terror,"Psychological, Thriller",TV,11,8.26,342893,8575
1304,3712,Zero no Tsukaima: Princesses no Rondo,"Action, Adventure, Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School",TV,12,7.6,210891,8574
30,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487,8537
299,11597,Nisemonogatari,"Comedy, Mystery, Supernatural",TV,11,8.21,260062,8511
1442,15583,Date A Live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,12,7.54,301358,8500
130,32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,1,8.45,215630,8488
225,5681,Summer Wars,"Comedy, Sci-Fi",Movie,1,8.3,223359,8386
2533,4214,Rosario to Vampire Capu2,"Comedy, Ecchi, Fantasy, Harem, Romance, School, Vampire",TV,13,7.24,203958,8374
222,1519,Black Lagoon: The Second Barrage,"Action, Seinen",TV,12,8.3,203233,8327
358,47,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,1,8.15,215897,8296
282,2034,Lovely★Complex,"Comedy, Romance, Shoujo",TV,24,8.23,235003,8293
16,23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,8271
1224,6573,Darker than Black: Ryuusei no Gemini,"Action, Mystery, Sci-Fi, Super Power",TV,12,7.62,222243,8269
996,14467,K,"Action, Super Power, Supernatural",TV,13,7.73,297051,8207
1585,16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Action, Horror, Mystery, Psychological",TV,13,7.49,298550,8203
268,14513,Magi: The Labyrinth of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.24,317513,8201
25,7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,8192
1779,20787,Black Bullet,"Action, Mystery, Sci-Fi, Seinen",TV,13,7.44,320267,8177
49,31043,Boku dake ga Inai Machi,"Mystery, Psychological, Seinen, Supernatural",TV,12,8.65,402381,7991
607,317,Final Fantasy VII: Advent Children,"Action, Fantasy, Super Power",Movie,1,7.94,138659,7944
373,7791,K-On!!,"Comedy, Music, School, Slice of Life",TV,26,8.14,246276,7893
1421,6707,Kuroshitsuji II,"Action, Comedy, Demons, Fantasy, Shounen, Supernatural",TV,12,7.55,234955,7893
1333,1686,Bleach Movie 1: Memories of Nobody,"Action, Adventure, Super Power",Movie,1,7.58,151598,7886
708,28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,"Action, Adventure, Comedy, Fantasy, Romance",TV,13,7.88,336349,7758
144,1889,Higurashi no Naku Koro ni Kai,"Mystery, Psychological, Supernatural, Thriller",TV,24,8.41,218101,7753
295,72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,12,8.21,171086,7739
724,15451,High School DxD New,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,7.87,266657,7727
370,4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Drama, Romance, School, Slice of Life",Special,1,8.14,160423,7707
397,10080,Kami nomi zo Shiru Sekai II,"Comedy, Harem, Romance, Shounen, Supernatural",TV,12,8.12,194300,7706
518,11887,Kokoro Connect,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,13,8.01,283847,7705
262,23289,Gekkan Shoujo Nozaki-kun,"Comedy, Romance, School",TV,12,8.24,292622,7651
1052,14967,Boku wa Tomodachi ga Sukunai Next,"Comedy, Harem, Romance, School, Seinen, Slice of Life",TV,12,7.7,214319,7639
3069,7593,Kiss x Sis (TV),"Comedy, Ecchi, Harem, Romance, School, Seinen",TV,12,7.09,215361,7622
2605,7088,Ichiban Ushiro no Daimaou,"Action, Comedy, Ecchi, Fantasy, Harem, Magic, School, Shounen",TV,12,7.21,203618,7615
690,249,InuYasha,"Action, Adventure, Comedy, Demons, Fantasy, Magic, Romance, Shounen, Supernatural",TV,167,7.89,281632,7603
294,2759,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",Movie,1,8.21,194561,7537
191,43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,8.34,223036,7485
6,11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,7477
687,552,Digimon Adventure,"Action, Adventure, Comedy, Fantasy, Kids",TV,54,7.89,182208,7471
304,1482,D.Gray-man,"Action, Adventure, Comedy, Shounen",TV,103,8.2,334399,7442
1616,101,Air,"Drama, Romance, Slice of Life, Supernatural",TV,13,7.48,188861,7432
1115,18507,Free!,"Comedy, School, Slice of Life, Sports",TV,12,7.67,265791,7390
1834,527,Pokemon,"Action, Adventure, Comedy, Fantasy, Kids",TV,276,7.43,229157,7326
184,7674,Bakuman.,"Comedy, Romance, Shounen",TV,25,8.35,246899,7303
1046,14289,Sukitte Ii na yo.,"Romance, School, Shoujo",TV,13,7.71,233410,7246
124,5341,Ookami to Koushinryou II,"Adventure, Fantasy, Historical, Romance",TV,12,8.46,210491,7230
2169,3455,To LOVE-Ru,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi",TV,26,7.34,237563,7207
1110,5958,Sora no Otoshimono,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural",TV,13,7.68,227681,7191
878,2787,Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural",TV,24,7.79,184525,7181
1475,11499,Sankarea,"Comedy, Ecchi, Horror, Romance, Shounen, Supernatural",TV,12,7.53,222657,7097
1078,857,Air Gear,"Action, Comedy, Ecchi, Shounen, Sports",TV,25,7.69,194611,7009
2696,7817,B Gata H Kei,"Comedy, Ecchi, Romance, School, Seinen",TV,12,7.18,192719,7002
541,7724,Shiki,"Mystery, Supernatural, Thriller, Vampire",TV,22,7.99,251093,6946
1403,11633,Blood Lad,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",TV,10,7.55,241513,6920
185,11843,Danshi Koukousei no Nichijou,"Comedy, School, Shounen, Slice of Life",TV,12,8.35,258914,6891
1830,13659,Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"Comedy, Seinen, Slice of Life",TV,13,7.43,194791,6883
2835,1726,Devil May Cry,"Action, Demons, Fantasy",TV,12,7.15,166398,6859
141,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24,8.42,331627,6858
2353,16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,"Comedy, School, Shounen, Slice of Life",TV,12,7.29,257925,6845
1566,1691,Kaze no Stigma,"Action, Fantasy, Magic, Romance, Shounen",TV,24,7.5,205338,6823
72,16894,Kuroko no Basket 2nd Season,"Comedy, School, Shounen, Sports",TV,25,8.58,243325,6819
457,73,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,13,8.06,155340,6744
61,28171,Shokugeki no Souma,"Ecchi, School, Shounen",TV,24,8.61,348951,6723
740,6213,Toaru Kagaku no Railgun,"Action, Sci-Fi, Super Power",TV,24,7.87,231079,6722
1274,2889,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,"Action, Adventure, Shounen, Supernatural",Movie,1,7.6,134739,6691
314,237,Eureka Seven,"Adventure, Drama, Mecha, Romance, Sci-Fi",TV,50,8.19,239570,6689
489,790,Ergo Proxy,"Mystery, Psychological, Sci-Fi",TV,23,8.03,265005,6668
71,578,Hotaru no Haka,"Drama, Historical",Movie,1,8.58,174878,6664
90,3784,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",Movie,1,8.53,182224,6631
18,12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,6628
647,17895,Golden Time,"Comedy, Romance, Seinen",TV,24,7.92,273191,6605
138,22297,Fate/stay night: Unlimited Blade Works,"Action, Fantasy, Magic, Shounen, Supernatural",TV,12,8.42,267484,6594
1044,8675,Seitokai Yakuindomo,"Comedy, School, Shounen, Slice of Life",TV,13,7.71,217617,6591
2370,189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,24,7.28,156627,6575
4828,4975,ChäoS;HEAd,"Harem, Mystery, Psychological, Sci-Fi, Supernatural",TV,12,6.62,174337,6572
135,45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,94,8.43,218928,6563
543,8516,Baka to Test to Shoukanjuu Ni!,"Comedy, Romance, School, Super Power",TV,13,7.98,183722,6548
1130,22729,Aldnoah.Zero,"Action, Mecha, Sci-Fi",TV,12,7.66,244193,6546
1172,26243,Owari no Seraph,"Action, Drama, Shounen, Supernatural, Vampire",TV,12,7.65,315630,6518
1471,10110,Mayo Chiki!,"Comedy, Ecchi, Harem, Romance, School",TV,13,7.53,192219,6485
504,6351,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen","Drama, Romance, School",Special,1,8.02,138364,6469
1949,4063,Sekirei,"Action, Comedy, Ecchi, Harem, Super Power",TV,12,7.4,182713,6444
239,512,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",Movie,1,8.27,152331,6432
2509,7059,Black★Rock Shooter (OVA),"Action, Drama, School, Slice of Life",OVA,1,7.24,130665,6430
338,9656,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life",TV,12,8.17,171866,6407
66,777,Hellsing Ultimate,"Action, Horror, Military, Seinen, Supernatural, Vampire",OVA,10,8.59,297454,6386
937,20785,Mahouka Koukou no Rettousei,"Magic, Romance, School, Sci-Fi, Supernatural",TV,26,7.76,285317,6383
342,14075,Zetsuen no Tempest,"Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",TV,24,8.17,259900,6369
803,154,Shaman King,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",TV,64,7.83,169517,6336
659,28999,Charlotte,"Drama, School, Super Power",TV,13,7.91,310137,6306
337,1530,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural",TV,24,8.17,163171,6288
768,15315,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,"Comedy, Fantasy, Supernatural",TV,10,7.85,218231,6276
170,513,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",Movie,1,8.38,151061,6244
890,10790,Kore wa Zombie Desu ka? of the Dead,"Action, Comedy, Ecchi, Harem, Magic, Supernatural",TV,10,7.78,180032,6236
126,10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1,8.46,159548,6225
655,5530,Pandora Hearts,"Adventure, Fantasy, Mystery, Shounen, Supernatural",TV,25,7.92,229567,6213
846,150,Blood+,"Action, Drama, Horror, Military, Mystery, Supernatural, Vampire",TV,50,7.8,208321,6207
789,8937,Toaru Majutsu no Index II,"Action, Magic, Sci-Fi, Super Power",TV,24,7.84,184520,6199
4240,9515,Highschool of the Dead: Drifters of the Dead,"Comedy, Ecchi, Supernatural",OVA,1,6.77,140501,6176
1083,11013,Inu x Boku SS,"Comedy, Romance, Shounen, Supernatural",TV,12,7.69,216204,6174
3123,11285,Black★Rock Shooter (TV),"Action, Drama, School, Slice of Life",TV,8,7.07,198991,6162
151,33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,8.4,226430,6144
1708,15225,Hentai Ouji to Warawanai Neko.,"Comedy, Harem, Romance, School, Seinen, Supernatural",TV,12,7.46,201735,6139
28,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030,6131
43,20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,284498,6130
904,3470,Special A,"Comedy, Romance, School, Shoujo",TV,24,7.78,173603,6053
322,232,Cardcaptor Sakura,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",TV,70,8.18,181249,6034
80,10162,Usagi Drop,"Josei, Slice of Life",TV,11,8.56,194855,6016
464,24,School Rumble,"Comedy, Romance, School, Shounen",TV,26,8.06,178553,5980
101,18115,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",TV,25,8.5,245026,5967
278,8425,Gosick,"Drama, Historical, Mystery, Romance",TV,24,8.23,232113,5965
117,572,Kaze no Tani no Nausicaä,"Adventure, Fantasy",Movie,1,8.47,143273,5947
60,10408,Hotarubi no Mori e,"Drama, Romance, Shoujo, Supernatural",Movie,1,8.61,197439,5923
834,2593,Kara no Kyoukai 1: Fukan Fuukei,"Action, Mystery, Supernatural, Thriller",Movie,1,7.81,178880,5905
2756,442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"Adventure, Comedy, Drama, Historical, Shounen, Supernatural",Movie,1,7.17,120571,5897
923,11319,Zero no Tsukaima F,"Adventure, Ecchi, Fantasy, Magic, Romance",TV,12,7.77,174026,5882
824,6956,Working!!,"Comedy, Slice of Life",TV,13,7.82,189367,5880
2281,79,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,24,7.31,158772,5856
1275,18671,Chuunibyou demo Koi ga Shitai! Ren,"Comedy, Drama, Romance, School, Slice of Life",TV,12,7.6,208885,5817
2142,376,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",Special,1,7.34,116129,5802
152,5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,8.4,137636,5790
365,1943,Paprika,"Fantasy, Horror, Mystery, Psychological, Sci-Fi, Thriller",Movie,1,8.15,163308,5756
2399,384,Gantz,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,7.27,165335,5721
186,16782,Kotonoha no Niwa,"Drama, Psychological, Romance, Slice of Life",Movie,1,8.35,189741,5716
99,22789,Barakamon,"Comedy, Slice of Life",TV,12,8.5,225927,5697
462,15689,Nekomonogatari: Kuro,"Comedy, Romance, Supernatural",TV,4,8.06,173264,5691
452,66,Azumanga Daioh,"Comedy, School, Slice of Life",TV,26,8.06,170901,5652
120,392,Yuu☆Yuu☆Hakusho,"Action, Comedy, Demons, Fantasy, Martial Arts, School, Shounen",TV,112,8.47,195017,5639
1980,6512,Nyan Koi!,"Comedy, Harem, Romance",TV,12,7.39,142264,5631
175,1604,Katekyo Hitman Reborn!,"Action, Comedy, Shounen, Super Power",TV,203,8.37,258103,5599
1131,4835,Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,"Action, Comedy, Shounen, Super Power, Supernatural",Movie,1,7.66,122373,5574
113,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13,8.48,299434,5561
623,2890,Gake no Ue no Ponyo,"Adventure, Fantasy",Movie,1,7.93,140277,5552
59,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,"Sci-Fi, Thriller",Movie,1,8.61,192424,5551
685,21995,Ao Haru Ride,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,12,7.89,227417,5547
2911,8630,Hidan no Aria,"Action, Comedy, Romance, School",TV,12,7.13,171888,5524
1100,22147,Amagi Brilliant Park,"Comedy, Magic",TV,13,7.68,217003,5519
1429,19221,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru","Comedy, Romance, School",TV,10,7.55,179569,5497
219,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy, Drama, Romance, School",TV,13,8.31,222994,5493
91,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25,8.53,288376,5485
4480,8861,"Yosuga no Sora: In Solitude, Where We Are Least Alone.","Drama, Ecchi, Harem, Romance",TV,12,6.72,173216,5483
554,28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri","Action, Adventure, Fantasy, Military",TV,12,7.97,244314,5481
